exog_variables,model_order,arima_p,arima_d,arima_q,aic,bic,rmse,mae
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5688.0277284613185,-5653.920542360585,0.15495206607525994,0.14074095365274467
"tmean_lag135, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5680.196019546698,-5641.825435183374,0.15495930378273462,0.14077096494413818
"tmean_lag135, tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.677137849008,-5650.306553485684,0.1550056883031308,0.14083772988796753
"tmean_lag135, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5682.355103526801,-5648.247917426068,0.15501398037902073,0.14080476315345875
"tmean_lag150, tmean_lag105, tmean_lag90, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5690.123909873442,-5656.016723772709,0.15504339572036063,0.14086533109412394
"tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5687.923366179519,-5653.816180078786,0.15505967879714055,0.14084350546979624
"tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag165, tmean_lag75, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5684.1172309318645,-5641.483248305948,0.1550611413566891,0.14083013288820495
"tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5688.42678515982,-5654.319599059087,0.1550746432317411,0.14083581459383482
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag90, tmean_lag165","ARIMAX(1,1,2)",1,1,2,-5685.895703950297,-5647.525119586972,0.1550903896271463,0.14086968257671806
"tmean_lag135, tmean_lag120, tmean_lag150, tmean_lag165, tmean_lag0","ARIMAX(1,1,2)",1,1,2,-5686.364345850432,-5647.993761487108,0.1550998651821557,0.14085719335210112
